nr,sepal_length,sepal_width,petal_length,petal_width,species
99,5.6,2.7,4.2,1.3,versicolor
100,5.7,3,4.2,1.2,versicolor
101,5.7,2.9,4.2,1.3,versicolor
102,6.2,2.9,4.3,1.3,versicolor
103,5.1,2.5,3,1.1,versicolor
104,5.7,2.8,4.1,1.3,versicolor
105,6.3,3.3,6,2.5,virginica
106,5.8,2.7,5.1,1.9,virginica
107,7.1,3,5.9,2.1,virginica
108,6.3,2.9,5.6,1.8,virginica
109,6.5,3,5.8,2.2,virginica
110,7.6,3,6.6,2.1,virginica
111,4.9,2.5,4.5,1.7,virginica
112,7.3,2.9,6.3,1.8,virginica
113,6.7,2.5,5.8,1.8,virginica
114,7.2,3.6,6.1,2.5,virginica
115,6.5,3.2,5.1,2,virginica
116,6.4,2.7,5.3,1.9,virginica
117,6.8,3,5.5,2.1,virginica
118,5.7,2.5,5,2,virginica
119,5.8,2.8,5.1,2.4,virginica
120,6.4,3.2,5.3,2.3,virginica
121,6.5,3,5.5,1.8,virginica
122,7.7,3.8,6.7,2.2,virginica
123,7.7,2.6,6.9,2.3,virginica
124,6,2.2,5,1.5,virginica
125,6.9,3.2,5.7,2.3,virginica
126,5.6,2.8,4.9,2,virginica
127,7.7,2.8,6.7,2,virginica
128,6.3,2.7,4.9,1.8,virginica
129,6.7,3.3,5.7,2.1,virginica
130,7.2,3.2,6,1.8,virginica
131,6.2,2.8,4.8,1.8,virginica
132,,3,4.9,1.8,virginica
133,6.4,2.8,5.6,2.1,virginica
134,7.2,3,5.8,1.6,virginica
135,7.4,2.8,6.1,1.9,virginica
136,7.9,3.8,6.4,2,virginica
137,6.4,2.8,5.6,2.2,virginica
138,6.3,2.8,5.1,1.5,virginica
139,,2.6,5.6,1.4,virginica
140,7.7,3,6.1,2.3,virginica
141,6.3,3.4,5.6,2.4,virginica
142,6.4,3.1,5.5,1.8,virginica
143,6,3,4.8,1.8,virginica
144,6.9,3.1,5.4,2.1,virginica
145,6.7,3.1,5.6,2.4,virginica
146,6.9,3.1,5.1,2.3,virginica
147,5.8,2.7,5.1,1.9,virginica
148,6.8,3.2,5.9,2.3,virginica
149,6.7,3.3,5.7,2.5,virginica
150,6.7,3,5.2,2.3,virginica
151,6.3,2.5,5,1.9,virginica
152,6.5,3,5.2,2,virginica
153,6.2,3.4,5.4,2.3,virginica
154,5.9,3,5.1,1.8,virginica
152,6.5,3,5.2,2,virginica
153,6.2,3.4,5.4,2.3,virginica
154,5.9,3,5.1,1.8,virginica
